"annotation_id","annotator","created_at","id","komentar","label","lead_time","sentiment","updated_at"
236,"1","2025-05-15T14:49:26.825055Z",2026,"jirr sepatu boot transparan🤣","",5.058,"sarkastik","2025-05-15T14:49:26.825055Z"
237,"1","2025-05-15T14:49:31.773959Z",2027,"kak..di ikutin Michelle Halim tuh 😭😭😭","",4.721,"sarkastik","2025-05-15T14:49:31.773959Z"
238,"1","2025-05-15T14:49:39.590304Z",2028,"ototnya😭😭🙏","",7.544,"tidak sarkastik","2025-05-15T14:49:39.590304Z"
239,"1","2025-05-15T14:49:45.104677Z",2029,"bagus njirr😭","",5.266,"tidak sarkastik","2025-05-15T14:49:45.104786Z"
240,"1","2025-05-15T14:49:48.121825Z",2030,"#manyunbayuphobic","",2.775,"tidak sarkastik","2025-05-15T14:49:48.121825Z"
241,"1","2025-05-15T14:49:53.437919Z",2031,"😨","",5.077,"tidak sarkastik","2025-05-15T14:49:53.437919Z"
242,"1","2025-05-15T14:49:55.754037Z",2032,"is😭","",2.027,"tidak sarkastik","2025-05-15T14:49:55.754037Z"
243,"1","2025-05-15T14:49:58.740719Z",2033,"TBL TBL TBL😱😱😱😱😱","",2.754,"tidak sarkastik","2025-05-15T14:49:58.740719Z"
244,"1","2025-05-15T14:50:01.238186Z",2034,"emg lu gnteng?","",2.204,"sarkastik","2025-05-15T14:50:01.238186Z"
245,"1","2025-05-15T14:50:05.453486Z",2035,"atutt ahh","",3.996,"sarkastik","2025-05-15T14:50:05.453486Z"
246,"1","2025-05-15T14:50:12.203764Z",2036,"bibir lu ga cape?","",6.472,"tidak sarkastik","2025-05-15T14:50:12.203764Z"
247,"1","2025-05-15T14:50:15.919550Z",2037,"kalah jauh sama bpa gua","",3.495,"sarkastik","2025-05-15T14:50:15.919550Z"
248,"1","2025-05-15T14:50:19.165452Z",2038,"anjay lebih bnyk komen dari pda like🙏🗿","",3.01,"tidak sarkastik","2025-05-15T14:50:19.165452Z"
249,"1","2025-05-15T14:50:24.842487Z",2039,"gkk maluu yaaa?","",5.442,"tidak sarkastik","2025-05-15T14:50:24.842487Z"
250,"1","2025-05-15T14:50:28.284706Z",2040,"model kek lu gampang di saingin orang ngab","",3.206,"sarkastik","2025-05-15T14:50:28.284706Z"
251,"1","2025-05-15T14:50:33.466860Z",2041,"tim bubur dibuang","",4.915,"sarkastik","2025-05-15T14:50:33.466860Z"
252,"1","2025-05-15T14:50:35.923996Z",2042,"mandi dulu gihh","",2.231,"sarkastik","2025-05-15T14:50:35.923996Z"
253,"1","2025-05-15T14:50:38.299407Z",2043,"sepi wk","",2.146,"tidak sarkastik","2025-05-15T14:50:38.299407Z"
254,"1","2025-05-15T14:50:41.398026Z",2044,"AHAHA ANJR BNYAKAN KOMEN DRIPDE LIKE 🤣🤣","",2.863,"tidak sarkastik","2025-05-15T14:50:41.398026Z"
255,"1","2025-05-15T14:50:47.378321Z",2045,"mayun penghambat rejeki","",5.752,"sarkastik","2025-05-15T14:50:47.378321Z"
256,"1","2025-05-15T14:50:50.681688Z",2046,"DEMI ALLAH BANG.GUA GAK IRI SUMPAH🙏","",3.085,"sarkastik","2025-05-15T14:50:50.681688Z"
257,"1","2025-05-15T14:50:55.097957Z",2047,"g ush di gituin bbir ny","",4.168,"tidak sarkastik","2025-05-15T14:50:55.097957Z"
258,"1","2025-05-15T14:51:32.643056Z",2048,"manyun penghambat rezeki","",37.314,"sarkastik","2025-05-15T14:51:32.643056Z"
259,"1","2025-05-15T14:51:39.674356Z",2049,"Uluh saya sangat iri😬","",6.768,"sarkastik","2025-05-15T14:51:39.674426Z"
260,"1","2025-05-15T14:51:42.091422Z",2050,"2025 swndiri nih🗿","",2.18,"tidak sarkastik","2025-05-15T14:51:42.091422Z"
261,"1","2025-05-15T14:51:47.341874Z",2051,"ingin ku berkata kasar tapi ah sudah lah","",5.012,"sarkastik","2025-05-15T14:51:47.341874Z"
262,"1","2025-05-15T14:51:49.741298Z",2052,"😙😙😙","",2.165,"tidak sarkastik","2025-05-15T14:51:49.741298Z"
263,"1","2025-05-15T14:51:51.562324Z",2053,":)","",1.574,"tidak sarkastik","2025-05-15T14:51:51.562324Z"
264,"1","2025-05-15T14:51:54.117859Z",2054,"yang iri siapa btw","",2.337,"sarkastik","2025-05-15T14:51:54.117859Z"
265,"1","2025-05-15T14:51:56.989699Z",2055,"mau nyaingin apaan","",2.646,"sarkastik","2025-05-15T14:51:56.989699Z"
266,"1","2025-05-15T14:52:00.189404Z",2056,"apaansiii komen nya😶😐😑","",2.961,"tidak sarkastik","2025-05-15T14:52:00.189404Z"
267,"1","2025-05-15T14:52:03.847189Z",2057,"buladig sia","",3.416,"tidak sarkastik","2025-05-15T14:52:03.847189Z"
268,"1","2025-05-15T14:52:06.238580Z",2058,"lmao","",2.137,"tidak sarkastik","2025-05-15T14:52:06.238580Z"
269,"1","2025-05-15T14:52:12.188528Z",2059,"lah temboknya jdi menyon","",5.719,"sarkastik","2025-05-15T14:52:12.188528Z"
270,"1","2025-05-15T14:52:14.904736Z",2060,"ganteng keneh bapa aing","",2.472,"sarkastik","2025-05-15T14:52:14.904736Z"
271,"1","2025-05-15T14:52:19.522222Z",2061,"biarinn aja bang
terkadang ucapan mereka benar🗿👍🏻","",4.393,"sarkastik","2025-05-15T14:52:19.522222Z"
272,"1","2025-05-15T14:52:23.971660Z",2062,"siap si paling ganteng 😱😱😱😱😨😨😱😱😱😱😱😱😱😱😱😱😱","",4.2,"sarkastik","2025-05-15T14:52:23.971660Z"
273,"1","2025-05-15T14:52:26.237263Z",2063,"apasi bay apa","",2.03,"tidak sarkastik","2025-05-15T14:52:26.237263Z"
274,"1","2025-05-15T14:52:28.886268Z",2064,"makin kesini makin kesana🗿","",2.324,"sarkastik","2025-05-15T14:52:28.886268Z"
275,"1","2025-05-15T14:52:34.235533Z",2065,"ganteng ko bay","",5.109,"sarkastik","2025-05-15T14:52:34.235533Z"
276,"1","2025-05-15T14:52:37.555824Z",2066,"😂😂😂","",3.024,"tidak sarkastik","2025-05-15T14:52:37.555824Z"
277,"1","2025-05-15T14:52:40.036101Z",2067,"😂","",2.243,"tidak sarkastik","2025-05-15T14:52:40.036101Z"
278,"1","2025-05-15T14:52:54.133410Z",2068,"2000 doang ga bikin kita miskin, tp bikin kaya tukang parkir😅","",13.862,"sarkastik","2025-05-15T14:52:54.133410Z"
279,"1","2025-05-15T14:52:58.251887Z",2069,"kan sudah jelas itu ada PARKIR GRATIS","",3.883,"sarkastik","2025-05-15T14:52:58.251887Z"
280,"1","2025-05-16T06:19:18.807794Z",2070,"lebih rela ngasih 10 ribu buat anak-anak yang jualan keliling daripada ngasih 2 ribu ke tukang parkir wkwk","",13.11,"tidak sarkastik","2025-05-16T06:19:18.807794Z"
281,"1","2025-05-16T06:19:24.103841Z",2071,"Pliss di seluruh mini market","",5.021,"tidak sarkastik","2025-05-16T06:19:24.103841Z"
282,"1","2025-05-16T06:19:34.559022Z",2072,"Masih mending kang parkir alfa sih soalnya kita belanja lumayan lama, kang parkir atm? Ngapain njor😭🫵","",10.2,"tidak sarkastik","2025-05-16T06:19:34.559022Z"
283,"1","2025-05-16T06:19:46.522743Z",2073,"ke toko cuma mau beli teh botol 3 rebuan, eh biaya parkir 2 rebuan. toko untung 1k tukang parkir 2k🤑🤑🤑","",11.717,"sarkastik","2025-05-16T06:19:46.522743Z"
284,"1","2025-05-16T06:19:52.628646Z",2074,"gua gamasalah kalo dia beneran kerja
-bantu jaga motor pastinya
-rapihin motor
-bantu keluarin
-bantu sebrangin
-bilang makasih","",5.846,"tidak sarkastik","2025-05-16T06:19:52.628646Z"
285,"1","2025-05-16T06:19:58.536849Z",2075,"terpampang jelas spanduk parkir gratis, masih berani aja 🗿","",5.677,"tidak sarkastik","2025-05-16T06:19:58.536849Z"
286,"1","2025-05-16T06:20:10.146914Z",2076,"Jika saat keluar parkir dibantu
Jika Panas Jok Motor ditutupi Kardus
Jika Hujan Jok motor basah dibantu Lap
pasti dikasih Lebih, gak hanya 2000","",11.354,"tidak sarkastik","2025-05-16T06:20:10.146914Z"
287,"1","2025-05-16T06:20:16.175279Z",2077,"2 ribu GK bikin kt miskin tp bisa buat tukang parkir beli PCX","",5.777,"sarkastik","2025-05-16T06:20:16.175279Z"
288,"1","2025-05-16T06:20:21.044609Z",2078,"malu nya sampe ke malaysia 😅😅😂","",4.63,"sarkastik","2025-05-16T06:20:21.044609Z"
289,"1","2025-05-16T06:20:31.497852Z",2079,"cuma 2ribu loo 😌😌","",10.212,"sarkastik","2025-05-16T06:20:31.497852Z"
290,"1","2025-05-16T06:20:36.360616Z",2080,"JAWA=HAMA","",4.615,"sarkastik","2025-05-16T06:20:36.360616Z"
291,"1","2025-05-16T06:20:42.840968Z",2081,"gabakal miskin bang cuman ngasih 2ribu mah,itung2 sedekah","",6.228,"tidak sarkastik","2025-05-16T06:20:42.840968Z"
292,"1","2025-05-16T06:20:50.538392Z",2082,"itu tukang parkir nya kerja lo,kecuali tiba"" datang mnta duit","",7.447,"tidak sarkastik","2025-05-16T06:20:50.538392Z"
293,"1","2025-05-16T06:21:05.750162Z",2083,"gw dimintai uang parkir di depan rumah gw🗿","",14.657,"tidak sarkastik","2025-05-16T06:21:05.750162Z"
294,"1","2025-05-16T06:21:31.354247Z",2084,"kalo ngejaga yg bener ya oke² aj yg ngasi psti bkal ikhlas, lh in gua wktu it tukang parkir diem Bae malah ngadem, tiba² pas mw plg malah nyamperin mnta 2 rbu hadeuhhh","",25.374,"tidak sarkastik","2025-05-16T06:21:31.354247Z"
295,"1","2025-05-16T06:21:36.992356Z",2085,"kalau gak ada abang parkir..kendaraan hilang gmn itu","",5.394,"tidak sarkastik","2025-05-16T06:21:36.992356Z"
296,"1","2025-05-16T06:21:46.172005Z",2086,"menurut gw gpp si, setidaknya dgn 1 orang yg keliatan kyk tukang parkir, kendaraan jd aman, jd org lain ga macem"", itung"" bantu mereka cari kerjaan jg, toh cuma 2k-5k aja😅","",8.933,"tidak sarkastik","2025-05-16T06:21:46.172005Z"
297,"1","2025-05-16T06:21:50.660757Z",2087,"tukang parkir ya?🤣","",4.242,"sarkastik","2025-05-16T06:21:50.660757Z"
298,"1","2025-05-16T06:21:54.290725Z",2088,"selagi motorku aman selagi bisa menjaga yah
saya tetap bayar tukang parkir itu walaupun cuma di kasih 2k intinya dia bisa membantu untuk memarkirkan","",3.369,"tidak sarkastik","2025-05-16T06:21:54.290725Z"
299,"1","2025-05-16T06:22:00.409579Z",2089,"menurut saya justru ada tukang parkir motor aman si.. apa berat nya cuma 2rb","",5.872,"tidak sarkastik","2025-05-16T06:22:00.409579Z"
300,"1","2025-05-16T06:22:06.042045Z",2090,"tpi tukang parkir sangat membantu biar aman","",5.385,"tidak sarkastik","2025-05-16T06:22:06.042045Z"
301,"1","2025-05-16T06:22:16.190101Z",2091,"ga ada tukang parkir aman² aja","",9.894,"tidak sarkastik","2025-05-16T06:22:16.190101Z"
302,"1","2025-05-16T06:22:21.640933Z",2092,"kasian woy, dia berusaha cari perkejaan yg halal dan dia juga lagi berusaha kasih nafkah buat keluarga nya. coba deh klo di posisi abang nya?? gimana?","",5.187,"tidak sarkastik","2025-05-16T06:22:21.640933Z"
303,"1","2025-05-16T06:22:35.467242Z",2093,"kalo tukang parkir kasian guna cctv apaan ?","",13.576,"sarkastik","2025-05-16T06:22:35.467242Z"
304,"1","2025-05-16T06:22:39.194404Z",2094,"kasiann tapi gimana ya jelasinnya","",3.485,"tidak sarkastik","2025-05-16T06:22:39.194404Z"
305,"1","2025-05-16T06:22:48.474813Z",2095,"Banyak yang komen ngasih uang parkir gaakan buat miskin , tapi banyak tukang parkir yang lepas tanggung jawab gimana tuh","",9.028,"tidak sarkastik","2025-05-16T06:22:48.474813Z"
306,"1","2025-05-16T06:23:12.458417Z",2096,"langsung ngadu si parkir ama temen nya wkwk","",23.731,"tidak sarkastik","2025-05-16T06:23:12.458417Z"
307,"1","2025-05-16T06:23:17.512947Z",2097,"padahal tulisan nya gede banget itu loh 😭","",4.789,"tidak sarkastik","2025-05-16T06:23:17.512947Z"
308,"1","2025-05-16T06:23:22.518118Z",2098,"1 yuro=19.200 Rp 🗿","",4.76,"sarkastik","2025-05-16T06:23:22.518118Z"
309,"1","2025-05-16T06:23:27.521636Z",2099,"Trump = HaMA 🗿","",4.758,"sarkastik","2025-05-16T06:23:27.521636Z"
310,"1","2025-05-16T06:23:32.068229Z",2100,"buzzer George Soros.","",4.298,"sarkastik","2025-05-16T06:23:32.068229Z"
311,"1","2025-05-16T06:23:35.669493Z",2101,"Timothy real coyy","",3.34,"sarkastik","2025-05-16T06:23:35.669493Z"
312,"1","2025-05-16T06:24:01.005242Z",2102,"fakta=sepi","",25.095,"tidak sarkastik","2025-05-16T06:24:01.005242Z"
313,"1","2025-05-16T06:24:07.294305Z",2103,"Kenapa aku WNI","",6.042,"sarkastik","2025-05-16T06:24:07.294305Z"
314,"1","2025-05-16T06:24:17.381523Z",2104,"Beli produk dlm negeri di korupsi
Beli produk impor mahal sekali
Only Indonesia🗿","",9.836,"sarkastik","2025-05-16T06:24:17.381523Z"
315,"1","2025-05-16T06:24:32.289896Z",2105,"@syifa.: guys stop ngeledek atau nyalahin presiden,wakil dan pemerintahan ini udah jelass karena kebijakan baru dari donald trump makanya dampaknya bisa separah ini, kita sebagai masyarakat stop buat fomo beli barang barang AS yang lagi viral, belajar cintai produk Indonesia","",14.668,"tidak sarkastik","2025-05-16T06:24:32.289896Z"
316,"1","2025-05-16T06:24:44.520095Z",2106,"Yg merantau kerja di luar negri, full senyum🤣","",11.989,"sarkastik","2025-05-16T06:24:44.520095Z"
317,"1","2025-05-16T06:24:49.207035Z",2107,"harga mie ayam naik ga bang?","",4.438,"tidak sarkastik","2025-05-16T06:24:49.207035Z"
318,"1","2025-05-16T06:24:54.666440Z",2108,"mana bener lagi, gua bertahan disini karna ada mie ayam","",5.217,"tidak sarkastik","2025-05-16T06:24:54.666440Z"
319,"1","2025-05-16T06:25:03.787634Z",2109,"yang gajinya dolar : 🔥🔥","",8.878,"tidak sarkastik","2025-05-16T06:25:03.787634Z"
320,"1","2025-05-16T06:25:08.619739Z",2110,"Gerald Vincent Password nya apa?
""Menarik Nih""","",4.281,"tidak sarkastik","2025-05-16T06:25:08.619739Z"
321,"1","2025-05-16T06:25:15.509428Z",2111,"hidup di Indonesia udh kaya mode very hard anjir","",6.641,"tidak sarkastik","2025-05-16T06:25:15.509428Z"
322,"1","2025-05-16T06:25:23.594620Z",2112,"ketuanya sibuk ok gas ok gas 😹😹","",7.834,"tidak sarkastik","2025-05-16T06:25:23.594620Z"
323,"1","2025-05-16T06:26:01.662297Z",2113,"kaum 58 ngerti?
pasti nggak..","",37.797,"sarkastik","2025-05-16T06:26:01.662297Z"
324,"1","2025-05-16T06:26:13.674407Z",2114,"1 KWD aja tembus 55k bang, emak gue yg kerja di Kuwait seneng banget ngirim duit jadi banyak","",11.768,"tidak sarkastik","2025-05-16T06:26:13.674407Z"
325,"1","2025-05-16T06:26:58.390677Z",2115,"hidup cuman sekali
malah lahir di indonesia 🗿","",44.467,"sarkastik","2025-05-16T06:26:58.390677Z"
326,"1","2025-05-16T06:27:01.892358Z",2116,"gk ngaruh,fokus jogetin aja","",3.262,"tidak sarkastik","2025-05-16T06:27:01.892358Z"
327,"1","2025-05-16T06:27:34.277337Z",2117,"yahh nnti nasi padang sama mie ayam jadi mahal🙃","",32.135,"tidak sarkastik","2025-05-16T06:27:34.277337Z"
328,"1","2025-05-16T06:27:38.136973Z",2118,"Anak Abah: salah Prabowo 😂","",3.602,"sarkastik","2025-05-16T06:27:38.136973Z"
329,"1","2025-05-16T06:27:42.585566Z",2119,"ga rela mie ayam semangkok jadi 50k","",4.202,"tidak sarkastik","2025-05-16T06:27:42.585566Z"
330,"1","2025-05-16T06:27:47.702549Z",2120,"ketika prabowo punya ambisi tapi periodenya barengan ama trump","",4.865,"tidak sarkastik","2025-05-16T06:27:47.702549Z"
331,"1","2025-05-16T06:27:53.821191Z",2121,"top up naik jir 🗿","",5.842,"tidak sarkastik","2025-05-16T06:27:53.821191Z"
332,"1","2025-05-16T06:27:57.737031Z",2122,"ga ngaruh dollar naik. yg penting jogetin aja.","",3.671,"tidak sarkastik","2025-05-16T06:27:57.737031Z"
333,"1","2025-05-16T06:28:12.311906Z",2123,"intinya beli barang dalam negeri ajah","",14.338,"tidak sarkastik","2025-05-16T06:28:12.311906Z"
334,"1","2025-05-16T06:29:02.975629Z",2124,"Jadiin 20.000 dehh nanggung🤝","",50.413,"sarkastik","2025-05-16T06:29:02.975629Z"
335,"1","2025-05-16T06:29:10.418019Z",2125,"gua bertahan karna gak bisa bahasa asing.kalau bisa dah dari dulu gua pengen kerja ke jepang sama australia","",7.191,"tidak sarkastik","2025-05-16T06:29:10.418019Z"
336,"1","2025-05-16T06:29:17.615476Z",2126,"Yuk bisa yuk mulai cintai produk Indonesia","",6.958,"tidak sarkastik","2025-05-16T06:29:17.615476Z"
337,"1","2025-05-16T06:29:22.064200Z",2127,"yok genepin 20k yok😹","",4.201,"sarkastik","2025-05-16T06:29:22.065157Z"
338,"1","2025-05-16T06:29:26.856809Z",2128,"gmau bersaing sm yg jleg ah🙏🏻😃","",4.513,"tidak sarkastik","2025-05-16T06:29:26.856809Z"
339,"1","2025-05-16T06:31:33.123964Z",2129,"w ga iri dan cowo w 1000000000000% lebih ganteng aokwowkwkwwok","",126.026,"tidak sarkastik","2025-05-16T06:31:33.123964Z"
340,"1","2025-05-16T06:34:51.172275Z",2130,"ampun dh yg plg gntg:(","",197.281,"sarkastik","2025-05-16T06:34:51.172275Z"
341,"1","2025-05-16T06:36:22.812079Z",2131,"kirain udah bener😭","",90.607,"tidak sarkastik","2025-05-16T06:36:22.812079Z"
342,"1","2025-05-16T06:36:35.059505Z",2132,"ngga ikut met gala lo mek😙🤗","",11.241,"sarkastik","2025-05-16T06:36:35.059505Z"
343,"1","2025-05-16T06:36:42.041987Z",2133,"Isha ambani pun kalah sama bu oweners satu ini,, harusnya di undang di met gala","",6.093,"tidak sarkastik","2025-05-16T06:36:42.041987Z"
344,"1","2025-05-16T06:36:47.267226Z",2134,"STRESS SEMUA STERESS","",4.332,"tidak sarkastik","2025-05-16T06:36:47.267226Z"
345,"1","2025-05-16T06:36:51.597911Z",2135,"wait, u wanita?","",3.598,"sarkastik","2025-05-16T06:36:51.597911Z"
346,"1","2025-05-16T06:37:38.930387Z",2136,"sumpah baru ini rozi bisa gue terima","",46.553,"tidak sarkastik","2025-05-16T06:37:38.930387Z"
347,"1","2025-05-16T06:37:52.151462Z",2137,"astaga ngakak liat sendal nya😭🙏","",12.335,"tidak sarkastik","2025-05-16T06:37:52.151462Z"
348,"1","2025-05-16T06:38:00.474186Z",2138,"udh deh lu begini aja Rozi menghibur bngt 😭","",7.409,"tidak sarkastik","2025-05-16T06:38:00.474186Z"
349,"1","2025-05-16T06:38:05.258015Z",2139,"kok asik sih dia🤣","",3.916,"tidak sarkastik","2025-05-16T06:38:05.258015Z"
350,"1","2025-05-16T06:38:15.846611Z",2140,"diketawain tetangga ga sih? 😔😔","",9.717,"tidak sarkastik","2025-05-16T06:38:15.846611Z"
351,"1","2025-05-16T06:38:35.851087Z",2141,"warnanya nabrak semuaaa😭","",19.267,"tidak sarkastik","2025-05-16T06:38:35.851087Z"
352,"1","2025-05-16T06:38:41.853991Z",2142,"""menyala badan ku"" CANDU BANGED WEH.","",5.16,"tidak sarkastik","2025-05-16T06:38:41.854283Z"
353,"1","2025-05-16T06:38:47.290986Z",2143,"parfum nya sama njir sama punya ku😭🗿","",4.553,"tidak sarkastik","2025-05-16T06:38:47.290986Z"
354,"1","2025-05-16T06:38:51.504034Z",2144,"menyala badanku💅🏻💅🏻💅🏻","",3.393,"tidak sarkastik","2025-05-16T06:38:51.505031Z"
355,"1","2025-05-16T06:38:57.474923Z",2145,"ko dia masih pake foto profil sama Popo iyaa, padahal udah lama mereka cerai 🤭","",5.085,"tidak sarkastik","2025-05-16T06:38:57.475920Z"
356,"1","2025-05-16T06:39:03.265770Z",2146,"ya allah baru buka tiktok perasaan🗿","",5.106,"tidak sarkastik","2025-05-16T06:39:03.266202Z"
357,"1","2025-05-16T06:39:10.196669Z",2147,"yaallahh😭","",6.238,"tidak sarkastik","2025-05-16T06:39:10.196669Z"
358,"1","2025-05-16T06:39:14.235389Z",2148,"KAU WANITA?","",3.261,"sarkastik","2025-05-16T06:39:14.235389Z"
359,"1","2025-05-16T06:39:19.671397Z",2149,"kuat bgt wanita mahalnya🥺","",4.53,"tidak sarkastik","2025-05-16T06:39:19.671397Z"
360,"1","2025-05-16T06:39:36.956767Z",2150,"KOO SERUUU😭😭😭","",16.428,"tidak sarkastik","2025-05-16T06:39:36.956767Z"
361,"1","2025-05-16T06:39:41.404427Z",2151,"dia begini karna menghibur dan kepala keluarga 😊","",3.686,"tidak sarkastik","2025-05-16T06:39:41.404427Z"
362,"1","2025-05-16T06:39:46.429638Z",2152,"pasword nya apaa?
""MeNyALa BADan KUu""
""GayA NOmOR SAtu NyaMan KeSeKiaN""","",4.104,"tidak sarkastik","2025-05-16T06:39:46.429638Z"
363,"1","2025-05-16T06:43:35.854679Z",2153,"apa apaan ini","",228.694,"tidak sarkastik","2025-05-16T06:43:35.854679Z"
364,"1","2025-05-16T06:43:45.184724Z",2154,"mulut ku diam hatiku tadarus","",8.455,"tidak sarkastik","2025-05-16T06:43:45.184724Z"
365,"1","2025-05-16T06:43:48.954143Z",2155,"lucu anjir😂😭😭","",2.915,"tidak sarkastik","2025-05-16T06:43:48.954143Z"
366,"1","2025-05-16T06:43:54.162146Z",2156,"Ini cocok sm ifood 😫","",4.277,"tidak sarkastik","2025-05-16T06:43:54.162146Z"
367,"1","2025-05-16T06:43:57.966050Z",2157,"menyala jenggg","",2.908,"tidak sarkastik","2025-05-16T06:43:57.966050Z"
368,"1","2025-05-16T06:44:05.016765Z",2158,"gunanya hijab??oh y cantik.","",6.165,"sarkastik","2025-05-16T06:44:05.016765Z"
369,"1","2025-05-16T06:44:49.294910Z",2159,"wanita kurir kali ah","",43.462,"sarkastik","2025-05-16T06:44:49.294910Z"
370,"1","2025-05-16T06:44:53.692605Z",2160,"capee yaallahhh😭","",3.545,"tidak sarkastik","2025-05-16T06:44:53.692605Z"
371,"1","2025-05-16T06:45:03.411629Z",2161,"seharga bucket 🗿","",8.809,"sarkastik","2025-05-16T06:45:03.412690Z"
372,"1","2025-05-16T06:45:37.838495Z",2162,"""hermes aja deh byee""😭😭","",33.486,"tidak sarkastik","2025-05-16T06:45:37.838495Z"
373,"1","2025-05-16T06:45:41.997663Z",2163,"karepmu yu bayu","",3.348,"tidak sarkastik","2025-05-16T06:45:41.997663Z"
374,"1","2025-05-16T06:47:06.109629Z",2164,"kek gni mah gmpang disaingin orng awokawokawok🗿🙏","",83.12,"tidak sarkastik","2025-05-16T06:47:06.109629Z"
375,"1","2025-05-16T06:47:10.736152Z",2165,"aduhh emg lu gprnah ngejelekinn?","",3.805,"tidak sarkastik","2025-05-16T06:47:10.736152Z"
376,"1","2025-05-16T06:47:17.348159Z",2166,"kalo saingan samaa lu maa lebih dri kata mampu😜💘","",6.069,"tidak sarkastik","2025-05-16T06:47:17.349201Z"
377,"1","2025-05-16T06:47:25.212789Z",2167,"Rela frugal living demi beli emas😭😭","",6.946,"sarkastik","2025-05-16T06:47:25.212789Z"
378,"1","2025-05-16T06:47:29.503744Z",2168,"dolar naik 17 ribu
otomatis harga nasi naik
dan harga kecap juga ikut naik
karena harga nasi naik maka ga ada yang beli nasi dan juga kecap
maka tidak ada penjual nasi goreng lagi","",3.52,"tidak sarkastik","2025-05-16T06:47:29.503744Z"
